alpha,cache_miss
0.0,811
0.004,416
0.008,416
0.012,416
0.016,416
0.02,416
0.024,416
0.028,416
0.032,416
0.036,416
0.04,415
0.044,415
0.048,415
0.052,415
0.056,415
0.06,415
0.064,415
0.068,415
0.072,415
0.076,415
0.08,415
0.084,415
0.088,415
0.092,415
0.096,415
0.1,415
0.104,415
0.108,415
0.112,415
0.116,415
0.12,415
0.124,415
0.128,415
0.132,415
0.136,415
0.14,415
0.144,415
0.148,415
0.152,415
0.156,415
0.16,415
0.164,415
0.168,415
0.172,415
0.176,415
0.18,415
0.184,415
0.188,415
0.192,415
0.196,415
0.2,415
0.204,415
0.208,415
0.212,415
0.216,415
0.22,415
0.224,415
0.228,415
0.232,415
0.236,415
0.24,415
0.244,415
0.248,415
0.252,415
0.256,415
0.26,415
0.264,415
0.268,415
0.272,415
0.276,415
0.28,412
0.284,412
0.288,412
0.292,412
0.296,412
0.3,412
0.304,412
0.308,412
0.312,412
0.316,412
0.32,412
0.324,412
0.328,412
0.332,412
0.336,412
0.34,412
0.344,412
0.348,412
0.352,412
0.356,412
0.36,412
0.364,412
0.368,412
0.372,412
0.376,412
0.38,413
0.384,413
0.388,413
0.392,413
0.396,413
0.4,413
0.404,413
0.408,413
0.412,413
0.416,413
0.42,413
0.424,413
0.428,413
0.432,413
0.436,413
0.44,413
0.444,413
0.448,413
0.452,413
0.456,413
0.46,413
0.464,413
0.468,413
0.472,413
0.476,413
0.48,413
0.484,413
0.488,413
0.492,413
0.496,413
0.5,413
0.504,413
0.508,413
0.512,413
0.516,413
0.52,413
0.524,413
0.528,413
0.532,413
0.536,413
0.54,413
0.544,413
0.548,413
0.552,413
0.556,413
0.56,413
0.564,413
0.568,413
0.572,413
0.576,413
0.58,413
0.584,413
0.588,413
0.592,413
0.596,413
0.6,413
0.604,413
0.608,413
0.612,413
0.616,413
0.62,413
0.624,413
0.628,413
0.632,413
0.636,413
0.64,413
0.644,413
0.648,413
0.652,413
0.656,413
0.66,413
0.664,413
0.668,413
0.672,413
0.676,413
0.68,413
0.684,413
0.688,413
0.692,413
0.696,413
0.7,413
0.704,413
0.708,414
0.712,414
0.716,414
0.72,414
0.724,414
0.728,414
0.732,414
0.736,414
0.74,414
0.744,414
0.748,414
0.752,414
0.756,414
0.76,414
0.764,414
0.768,414
0.772,414
0.776,414
0.78,414
0.784,414
0.788,414
0.792,414
0.796,414
