alpha,cache_miss
0.0,1808
0.004,1737
0.008,1772
0.012,1781
0.016,1789
0.02,1791
0.024,1793
0.028,1795
0.032,1796
0.036,1798
0.04,1799
0.044,1798
0.048,1800
0.052,1800
0.056,1800
0.06,1802
0.064,1802
0.068,1803
0.072,1804
0.076,1804
0.08,1804
0.084,1804
0.088,1803
0.092,1803
0.096,1804
0.1,1804
0.104,1804
0.108,1804
0.112,1804
0.116,1805
0.12,1805
0.124,1805
0.128,1804
0.132,1804
0.136,1804
0.14,1804
0.144,1804
0.148,1804
0.152,1804
0.156,1804
0.16,1804
0.164,1805
0.168,1805
0.172,1805
0.176,1805
0.18,1804
0.184,1804
0.188,1804
0.192,1805
0.196,1806
0.2,1806
0.204,1806
0.208,1806
0.212,1806
0.216,1806
0.22,1806
0.224,1806
0.228,1805
0.232,1805
0.236,1805
0.24,1805
0.244,1804
0.248,1613
0.252,1612
0.256,1612
0.26,1612
0.264,1612
0.268,1612
0.272,1612
0.276,1612
0.28,1612
0.284,1611
0.288,1611
0.292,1611
0.296,1611
0.3,1611
0.304,1611
0.308,1611
0.312,1610
0.316,1610
0.32,1610
0.324,1610
0.328,1610
0.332,1610
0.336,1610
0.34,1610
0.344,1610
0.348,1610
0.352,1610
0.356,1610
0.36,1610
0.364,1610
0.368,1610
0.372,1610
0.376,1610
0.38,1610
0.384,1610
0.388,1610
0.392,1610
0.396,1610
0.4,1610
0.404,1610
0.408,1610
0.412,1610
0.416,1610
0.42,1610
0.424,1609
0.428,1609
0.432,1609
0.436,1609
0.44,1609
0.444,1609
0.448,1609
0.452,1609
0.456,1608
0.46,1608
0.464,1608
0.468,1608
0.472,1608
0.476,1608
0.48,1608
0.484,1608
0.488,1608
0.492,1608
0.496,1608
0.5,1608
0.504,1608
0.508,1608
0.512,1608
0.516,1608
0.52,1608
0.524,1608
0.528,1608
0.532,1608
0.536,1608
0.54,1608
0.544,1608
0.548,1608
0.552,1608
0.556,1608
0.56,1608
0.564,1608
0.568,1608
0.572,1608
0.576,1608
0.58,1608
0.584,1608
0.588,1608
0.592,1608
0.596,1608
0.6,1608
0.604,1608
0.608,1608
0.612,1608
0.616,1608
0.62,1608
0.624,1608
0.628,1608
0.632,1608
0.636,1608
0.64,1608
0.644,1608
0.648,1608
0.652,1608
0.656,1608
0.66,1608
0.664,1608
0.668,1608
0.672,1608
0.676,1608
0.68,1608
0.684,1608
0.688,1608
0.692,1608
0.696,1608
0.7,1608
0.704,1608
0.708,1608
0.712,1608
0.716,1608
0.72,1608
0.724,1608
0.728,1608
0.732,1608
0.736,1608
0.74,1608
0.744,1608
0.748,1608
0.752,1608
0.756,1608
0.76,1608
0.764,1608
0.768,1608
0.772,1608
0.776,1608
0.78,1608
0.784,1608
0.788,1608
0.792,1608
0.796,1608
